Destination country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World
Paraguay,0,0,0,0,0,0,0,75919,0,0,28,146,0,1,0,0,1,0,121,0,0,0,0,1304,0,0,82116,0,0,0,0,0,0,0,2340,0,0,0,0,2551,800,329,0,0,0,47,0,0,255,0,0,39,21,0,0,16,94,0,47,0,0,0,0,0,0,0,629,0,0,0,0,1939,0,14,0,0,0,39,0,0,6,1,37,0,0,0,126,0,27,2,0,0,21,898,2,2300,14,0,0,0,0,2654,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,46,0,15,27,0,0,0,16,0,16,0,45,0,0,1686,27,894,44,39,0,0,580,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,160,0,1041,0,0,0,0,0,0,5,0,33,285,44,0,0,0,0,0,0,1,0,5,0,0,0,0,156,0,178,1992,3578,0,0,152,0,0,0,0,0,0,1271,2634,192135
Peru,7,8,23,0,7,18,26,13199,1,0,688,230,6,6,6,3,3,7,715,3,0,0,3,6654,11,1,5651,9,80,9,3,1,1,12,1424,0,0,2,0,8350,4751,6902,3,1,10,394,3,108,1053,0,1,107,285,1,6,214,4639,26,127,10,0,20,9,0,1,83,2685,0,1,2,8,3403,8,69,0,8,0,191,2,7,12,59,195,0,77,18,241,51,68,23,247,0,591,3890,7,3900,49,1,9,1,103,776,0,7,0,2,11,82,0,6,6,7,7,18,0,144,6,2,53,1,3,27,2,8,0,1735,1,7,2,2,0,48,3,1,1,1,790,0,111,189,2,16,0,125,1,85,0,404,8,636,0,376,231,152,161,1,187,644,732,2,2,2,40,1,0,1,6,12,0,1,36,0,8,136,1,5900,28,2,9,0,28,0,6,1,330,908,13,3,8,27,0,3,1,9,7,63,1,0,0,3,281,9,1928,11461,713,1,0,3764,6,0,0,8,4,13,905,1138,107496
Philippines,1258,119,476,0,0,78,14,152,139,64,4118,518,0,0,114,162,0,0,549,0,0,0,0,36,0,0,167,84,21,0,0,135,40,0,5740,0,0,0,0,95,37083,128,0,33,545,40,0,0,10,0,0,17,455,0,0,17,473,166,1,0,0,0,0,0,8,115,1241,0,0,0,0,3905,35,157,0,0,1039,35,0,0,0,0,21,264,251,55,10973,3407,604,73,444,0,633,1785,0,14181,182,0,55,0,5934,7123,0,176,0,296,0,138,0,3,49,0,0,0,0,0,0,0,817,0,0,0,14,0,0,149,0,0,3,0,0,6,0,434,0,70,498,0,395,0,0,198,0,673,420,514,35,17,61,24,114,0,113,61,53,123,36,69,0,0,0,0,756,0,0,0,0,845,0,0,0,0,0,838,35,1346,177,0,0,0,0,63,128,0,624,1065,63,0,0,350,145,0,0,0,585,906,0,0,0,0,0,444,4416,36683,14,0,0,8,425,0,0,0,7,10,14511,43213,218783
Poland,152,135,625,0,0,62,4,293,2256,0,974,4061,285,0,9,107,11,81363,5593,1,4,0,0,52,3727,0,280,0,1854,1,8,0,28,40,3163,0,9,0,0,64,1262,133,17,16,114,39,5,843,242,7,223,4836,957,0,0,22,49,485,1,0,26,214,47,0,10,269,27991,5,10,7,350,81779,39,3321,6,6,0,7,61,0,28,0,7,0,1440,528,919,122,248,456,8136,0,372,10647,3,547,147,4934,66,0,0,127,0,206,134,15,1662,411,0,0,257,0,54057,248,0,284,12,0,44,0,33,15,0,0,4,227,0,595,26,345,64,341,29,6,6,60,2776,0,114,6,4,408,0,1638,3,229,0,36,0,3,120,209,0,147,0,27,2659,40879,6,0,0,0,188,95,1109,10,10,16,0,1389,164,0,15,408,66,5166,93,0,0,0,0,118,0,0,1401,1088,631,63,74,105,0,14,0,3,439,937,58,0,0,68,221307,134,37020,14651,101,532,0,78,2992,0,0,123,45,111,5523,5762,667739
Portugal,9,52,240,0,385,161395,0,1365,105,0,1243,521,68,3,1,1519,7,977,3534,3,33,0,4,221,44,18,138664,0,5350,19,4,61492,2,76,7516,0,2,5,0,202,10806,667,2,1877,492,20,135,86,1675,69,31,257,408,0,17,70,461,434,89,227,2,132,32,0,0,347,93781,0,586,119,1106,27792,199,194,0,7,0,32,4650,29358,6,4,15,137,413,30,8068,257,211,44,1614,0,351,2816,27,320,29,900,106,0,77,133,0,5,0,2,213,76,2,29,30,210,377,4056,2063,283,27,473,50,0,118,46,0,42,9,274,0,20377,0,20,81,2033,72541,4,19,549,4092,1,47,15,0,276,0,343,5,2000,0,36,3,55,295,492,1007,0,0,3,23513,5862,20,3,0,18506,14,2148,54,4,55,29,18,96,59,0,1,11392,2,16366,27,0,0,0,0,2,15,599,831,16717,27,21,71,281,1776,78,0,5,142,308,19,0,0,29,48065,3,18989,7188,233,909,0,24970,55,0,0,4,18,1184,1139,2622,893945
Puerto Rico,3,0,0,0,0,0,0,1309,0,0,10,11,0,0,0,8,4,0,0,0,0,0,0,74,0,0,126,0,0,0,0,0,0,0,156,0,0,0,0,769,1116,4002,0,0,0,1007,0,0,17392,0,0,18,0,0,1563,67415,931,47,824,0,0,0,0,0,0,0,188,0,0,0,0,661,0,12,0,0,0,371,0,0,67,156,758,0,16,0,65,12,19,0,12,0,59,251,57,111,119,0,0,0,0,153,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2861,4,0,0,0,5,0,0,0,0,0,36,0,7,307,0,0,0,0,0,14,0,1483,0,0,958,185,25,46,0,0,19,23,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0,0,20,0,0,24,0,0,0,228,0,29,0,0,0,0,9,0,227,188954,0,0,0,3088,83,570,0,0,0,0,5246,15840,321970
Qatar,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,779,163386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166840,0,0,3519,0,2478,0,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658488,43909,30000,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,12296,0,0,0,8439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,0,0,0,341000,666,0,0,0,0,4152,0,0,0,135876,0,0,0,0,0,185000,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,2359,0,3859,0,55825,0,0,0,0,42000,0,0,0,0,12320,0,0,2336,0,0,0,0,1074,8952,0,0,0,0,0,18370,6846,3140,0,0,0,0,0,0,10617,40737,0,0,14971,63535,2085606
Romania,9,755,171,0,6,1,0,11,42,0,72,671,9,0,0,131,0,1,1588,2,0,0,9,2,139,2,38,0,18271,0,0,1,4,47,572,0,2,1,0,32,4909,8,0,3,4,3,0,1482,55,0,404,583,346,0,0,22,3,138,2,0,0,5,3,0,0,135,8536,0,4,3,75,8643,75,6138,0,1,0,3,64,21,5,2,6,0,8469,11,102,15,1663,1871,953,8,2423,50893,6,284,964,112,2,2,0,15,0,50,0,0,6,1597,0,1,27,2,15,24,0,538,1,1,1,3,75,8,0,0,1,153,0,151249,3,6,1,170,1,0,0,0,466,0,49,0,0,224,0,346,0,381,0,21,0,17,11,8,490,978,0,10,0,7280,1,0,2,0,17,21,7628,1,8,5,0,248,88,0,6,17,10,39492,0,0,0,0,0,8,10,0,251,208,7479,2,0,3,0,0,0,12,1400,7992,1,0,0,2,15698,102,6870,3793,0,8,0,40,105,0,94,8,0,3,7940,5292,391142
Russian Federation,5098,234,778,43,8,511,1,252,527659,0,543,2955,767881,24,12,471,9,764819,471,8,94,5,6,84,515,28,433,5,5845,445,131,45,114,334,558,4,91,152,9,107,56210,206,88,15,580,32,110,321,2228,9,716,11264,231,10,9,22,241,1060,7,104,6,58792,272,0,2,2211,2568,0,16,11,450539,142126,316,1953,3,21,2,12,204,131,18,23,22,60,16852,44,5705,163,2013,986,175,5,3651,1897,17,1025,816,2562079,451,3,10631,3723,0,85,591767,122,89452,968,7,9,270,4,71128,36,1,255,84,29,1557,45,73,54,5,21,64,204,1,294522,45,21158,263,1101,111,626,121,175,548,1,86,60,30,796,50,701,52,728,1,25,2,36,277,147,29227,232,3,26,3913,0,45,3,46,15,219,73,0,17,12,50,2,1833,350,19,59,240,138,1394,588,0,2,0,0,258,14,19,475,580,3267,466837,217,217,0,18,4,9,335,10244,185795,2,582,82,3272304,355,1742,4591,121,1147613,9,98,13680,11,566,648,471,73,47,620,11652102
Rwanda,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,64729,0,0,0,130,0,0,0,0,0,105,0,0,231438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45373,0,0,0,0,0,0,0,0,0,0,106501,0,0,160,142,0,0,0,0,0,0,0,0,0,0,14675,42645,509788
Samoa,0,0,0,1812,0,0,0,0,0,0,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,12,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3818,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,85,0,0,0,32,1184,0,0,19,0,0,0,0,0,0,0,764,1042,10534
San Marino,0,35,0,0,0,0,0,82,0,0,0,3,0,0,0,0,1,10,4,0,0,0,0,0,1,0,28,0,3,0,0,0,0,0,0,0,0,0,0,5,11,4,0,0,4,0,0,18,21,0,0,2,0,0,0,9,4,5,0,0,2,0,0,0,0,2,28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,1,4563,0,1,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,29,1,0,0,129,48,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,63,0,4,14,0,0,0,0,0,0,0,0,0,0,116,137,5481
Sao Tome and Principe,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,16,103,1305,0,281,0,0,303,463,0,0,0,0,0,559,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,136,0,227,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,557,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,612,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,681,8038
Saudi Arabia,435810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871621,0,0,0,0,148753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266216,1548032,0,5503,0,0,0,0,0,0,217904,0,0,0,0,0,0,0,0,0,0,139459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242510,0,455905,0,0,0,0,0,0,0,0,0,1343737,0,0,0,0,0,583985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479391,0,0,0,0,435810,0,0,0,0,745580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697296,0,0,70937,339763,12185284
Senegal,0,0,4086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518,0,0,0,0,0,631,0,0,0,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13511,0,0,5028,0,850,1739,0,0,0,0,0,50226,28756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,46416,0,0,0,0,33225,0,0,51951,0,0,0,0,0,0,0,4016,0,0,0,0,0,0,0,0,1647,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,14527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,14152,28316,312017
Serbia,0,463,52,0,0,0,0,106,156,0,670,6950,0,0,0,0,0,202,215,0,0,0,0,0,333687,0,98,0,2002,0,0,0,0,0,607,0,0,0,0,0,1750,0,0,0,0,0,0,281304,28,0,171,1041,181,0,0,0,0,76,0,0,0,0,0,0,0,33,5803,0,0,0,47,15972,28,1450,0,0,0,0,0,0,0,0,0,0,3606,0,292,31,64,275,51,0,108,1909,0,38,155,96,0,0,0,25,0,66,0,0,0,44,0,0,458,0,27,89,0,42568,0,0,0,0,0,52,0,0,0,25,0,280,0,0,70735,32,0,0,0,0,746,0,23,0,0,0,0,137,0,0,0,0,0,0,48,42,1435,38,0,0,8732,3803,0,0,0,0,0,0,0,0,0,0,0,766,13762,0,0,140,0,156,0,0,0,0,0,0,0,0,1182,2836,145,0,0,0,0,0,0,0,39,385,28,0,0,0,2119,23,642,1277,0,79,0,36,0,0,75,0,77,27,10246,10964,834126
Seychelles,0,0,0,4,0,1,0,6,0,0,51,17,1,0,0,222,0,0,38,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,17,0,0,0,0,0,515,0,0,0,3,0,13,1,43,0,0,1,3,0,0,0,0,10,0,0,0,0,3,0,0,1,241,0,1,0,0,85,20,1,0,0,0,0,3,0,0,1,0,0,3,6,6550,142,1,0,14,0,3,123,0,1,0,0,413,0,0,1,0,0,0,0,0,3,0,0,4,0,1,1,0,0,809,14,19,38,0,0,0,0,559,0,0,0,0,1,0,11,1,0,3,176,4,0,1,0,0,137,0,1,1,24,0,0,3,0,0,712,0,4,0,0,4,97,1,0,0,0,0,6,1,0,1,1,0,1,0,0,64,257,0,24,604,13,0,0,0,0,0,3,6,13,1,0,20,241,0,0,0,1,0,0,0,0,0,28,14,1,293,11,0,0,1,1,3,0,0,0,6,14,153,287,13261
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,31,0,5,0,0,34,0,0,0,0,0,268,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5041,0,127,1341,0,0,0,0,0,71495,20,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,6,0,0,51,0,6,13,0,0,0,0,0,2104,0,22144,0,0,0,0,0,0,0,0,0,0,1876,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,2091,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,706,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,585,484,0,0,0,0,0,0,0,0,104,0,593,1257,112140
Singapore,0,0,0,0,0,0,0,0,0,0,10446,0,0,0,0,83279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4847,0,0,0,0,0,462632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63912,0,0,154788,168355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22903,0,0,0,1158890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061,0,0,0,0,0,0,133306,0,0,0,0,0,15874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11066,0,0,0,0,0,0,0,0,0,0,0,0,19873,0,0,0,0,0,0,0,0,0,0,0,0,0,17699,0,0,0,0,0,0,0,0,0,0,42080,249393,2623404
Sint Maarten (Dutch part),0,0,0,0,0,0,552,4,0,1331,0,0,0,3,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,180,215,0,0,0,0,0,0,857,1475,0,0,0,0,1547,3671,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,7,0,0,0,0,1870,2843,0,3,0,0,863,62,0,0,0,0,0,18,2447,15,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,755,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1078,504,0,72,0,539,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,54,323,0,0,0,42,0,72,0,0,0,0,3723,2056,27978
Slovak Republic,174,102,111,0,1,26,30,85,152,0,310,3662,41,2,13,19,1,232,879,2,9,0,0,15,419,3,131,0,2326,2,5,0,11,13,499,3,2,138,0,28,1135,56,0,8,24,16,9,968,143,0,129,87813,273,0,3,22,37,212,2,0,0,57,32,1,0,165,2956,1,0,3,83,5077,19,500,3,2,1,3,6,2,2,3,2,2,16820,71,168,38,142,86,1047,3,205,3117,14,143,59,259,28,7,15,564,0,78,25,6,162,122,4,3,66,7,162,62,1,798,18,7,19,1,1,31,0,2,12,109,1,142,5,64,42,58,4,4,1,10,631,1,49,13,6,119,0,841,4,98,0,14,3,6,65,41,6872,209,2,2,8735,2855,2,1,1,2,41,16,2040,7,2,17,0,0,328,3,16,121,8,990,16,1,1,0,0,20,0,1,291,727,255,11,1,80,0,3,0,8,164,347,12,0,1,9,10450,82,6255,2273,15,52,1,20,2188,0,39,40,11,7,93,1199,182863
Slovenia,25,141,83,0,0,9,0,4988,25,11,2032,9055,27,1,1,12,1,187,966,4,1,1,0,44,118619,1,401,1,1730,6,3,6,6,23,2621,2,3,1,0,133,1038,73,1,8,8,9,5,61649,87,0,28,649,120,0,1,191,21,214,1,112,11,40,32,0,1,106,3598,0,2,18,33,21977,62,165,98,0,0,1,9,20,3,3,4,4,725,13,200,58,128,69,97,0,72,9471,10,131,125,172,36,0,58,29,35882,17,20,3,62,59,23,9,75,27,79,193,1,19072,19,1,19,7,6,20,0,9,11,116,0,368,3,6,4361,48,6,4,6,25,866,0,83,3,2,80,0,62,2,46,0,4,3,6,120,157,632,163,2,6,605,2963,1,0,1,1,26,7,32459,24537,10,21,0,791,0,4,45,111,20,526,18,0,0,0,0,36,1,17,973,3997,94,15,5,301,236,5,0,7,83,220,9,0,0,6,2386,49,1166,2101,149,66,0,295,22,0,28,15,15,19,30,11,380263
Solomon Islands,0,0,61,0,0,0,0,0,0,0,429,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,2281,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1097,0,0,29,0,0,0,0,28,0,0,0,259,0,30,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,32,232,0,0,0,0,0,0,170,0,0,552,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,120,72,0,0,397,0,72,0,0,0,0,0,419,1380,9220
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,13732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8141,0,0,8104,14856,44868
South Africa,155,268,738,0,0,65716,0,3915,0,0,11898,8903,0,0,270,4182,47,395,13128,0,319,97,0,268,334,69160,4845,35,6494,0,10822,0,0,4078,9401,0,195,0,0,1102,38684,979,320,50340,32497,0,1909,1650,2533,0,8115,3291,4174,0,0,0,0,7628,0,0,944,237,5126,0,74,1068,12506,0,515,0,0,93660,11013,14912,0,0,0,148,127,47,92,0,0,2665,0,51,39907,2011,1162,270,19989,0,7378,38515,319,2889,92,0,27143,0,228,2748,0,148,59,51,692,1528,312537,1239,268,0,662,42,0,197,707,102327,1500,92,174,561,0,0,14043,470,0,0,42,0,0,1791,675480,355,174043,209,33217,0,5166,178,31,27326,42,1838,51,16517,0,96,96,195,334,2474,16276,44925,0,0,2671,5608,7802,0,0,0,1021,4558,6401,1098,817,1500,0,694,0,0,30847,0,0,2406,1627,42,0,0,0,5008,0,87362,397,3244,192,0,15823,1444,0,0,0,42,188,1864,0,0,0,8009,6288,296,123764,16713,188,0,0,496,265,0,159,134,92075,355291,867413,289138,4035585
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4580,5190,0,0,0,0,0,87871,0,0,0,0,0,0,0,0,0,0,0,0,0,5151,0,0,3322,0,12802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,9570,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,2507,845775
Spain,462,2390,63635,0,6147,3293,0,249467,11661,0,6115,7184,621,58,56,13457,43,4575,41916,34,401,0,0,168994,2121,0,116068,22,124709,1315,108,4431,95,6034,6671,0,163,123,0,55604,183583,354108,0,1420,1967,3798,3309,2000,133873,0,378,7611,9665,21,803,163821,410517,5004,11813,21785,138,2093,4072,0,32,11371,202792,0,280,20115,12115,175622,16006,3904,0,627,0,8642,11588,5773,112,729,55266,0,9095,1068,42228,2071,6514,2100,13863,0,2908,109153,284,6426,2428,2417,1543,0,116,4598,0,487,336,189,4123,3723,0,683,975,116,14395,1406,0,683,466,65,607,0,22212,284,0,9426,243,50464,120,18806,237,422,168,786598,1208,87,127,3960,44648,0,914,25349,282,35550,0,14064,51,79876,0,4575,30,79931,188103,45279,52690,99501,0,91,639676,85190,285,0,37,190,1085,63004,4231,40,961,530,0,5846,1249,0,274,2799,0,0,633,0,45,0,0,392,220,0,17275,60095,7346,84,363,2291,0,502,0,207,2879,4334,60,0,34,213,96154,329,258965,44967,74092,648,0,180057,2182,0,0,140,149,338,11500,139825,6256804
