Destination country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World
Nicaragua,62,2,115,0,0,7,123,278,0,0,10,40,5,87,0,3,2,0,47,26,0,0,0,67,0,5,126,0,64,0,0,0,0,2,260,0,0,0,0,130,144,460,0,48,8,11057,0,2,967,0,3,0,55,0,3,71,115,1,2510,0,0,0,82,0,2,11,154,0,0,0,1,309,0,8,0,1,0,1809,9,0,2,25,12717,0,8,0,26,6,10,3,26,0,9,196,22,42,28,3,2,0,14,64,0,6,0,0,0,5,0,1,17,0,0,1,0,0,1,0,0,1,2,0,0,9,0,869,0,7,0,0,0,0,2,0,0,3,272,0,1,0,0,24,0,14,0,5,0,417,0,7,236,20,10,5,60,0,0,200,0,0,1,0,6,192,0,2,0,2,0,2,0,0,38,3,0,474,0,3,0,0,1,0,1,0,34,87,9,0,9,1,0,0,0,3,1,1,0,0,0,0,82,3,73,3686,40,2,0,164,2,0,0,30,0,1,224,2230,42096
Niger,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20924,0,0,0,0,0,0,0,0,22577,0,0,0,487,0,0,0,883,0,0,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,90580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,11336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329,41345,296089
Nigeria,0,0,0,0,0,0,0,0,0,0,2067,0,0,0,0,0,0,0,0,0,362544,0,0,0,0,0,0,0,0,7883,0,4042,0,48162,0,0,0,52251,0,0,0,0,0,0,0,0,4138,0,0,0,0,0,0,0,0,0,0,18263,0,9087,0,0,0,0,0,0,0,0,0,6176,0,0,229048,0,0,0,0,0,5878,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21157,0,0,0,0,0,0,0,0,0,0,165795,0,0,34196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,0,0,4195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122445,165547,1540221
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,1603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1245,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,12324,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,0,0,0,0,0,215,818,24155
Norway,14235,1228,1240,3,12,515,0,1132,0,16,2241,1605,518,23,32,1052,22,1030,1733,12,29,9,370,540,13487,119,5316,31,6478,33,1060,399,426,717,3093,3,18,33,0,6656,11520,5778,5,248,2297,284,339,3776,1008,0,204,2233,25055,59,21,834,776,1111,208,10,17718,5127,8355,951,44,6864,6385,7,10,1189,315,28239,1962,2560,312,18,0,448,276,58,87,47,119,1021,4177,8583,12485,1536,16535,22186,1152,0,823,4329,170,1409,456,917,2072,3,42,7506,8824,396,206,103,10008,1970,12,939,624,23,37422,140,81,2583,476,111,851,6,49,97,1,59,190,1283,1,913,15,146,428,5673,186,3146,88,1658,8807,9,633,195,59,1795,0,0,46,19722,2,67,9,156,1513,21378,96066,3166,30,70,13558,17490,637,4,5,4,714,269,4746,12,505,762,0,3975,392,6,28321,1509,191,6583,9338,5,0,0,0,3706,39,15,49122,2242,9720,106,932,18940,9,112,5,348,1039,11280,83,0,1,1285,4641,436,19476,17578,241,525,1,1091,13899,0,3598,409,553,287,927,10622,782450
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,276518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77119,0,0,0,0,0,0,0,0,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201995,65305,0,10734,0,0,0,0,0,0,19108,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,0,0,0,0,0,0,0,218522,0,0,0,0,0,40397,0,0,0,430,0,0,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,1042,0,26268,0,0,0,0,17724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16584,10464,0,0,0,0,0,0,0,0,0,0,0,21236,62913,2074334
Pakistan,1515738,0,33,0,0,0,0,0,0,0,0,0,0,0,0,186114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395854,382,2154,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19699,59094,3182958
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,304,333,5723
Panama,7,10,13,0,6,12,1,2633,7,15,288,111,0,13,3,43,33,12,279,88,0,13,7,468,1,0,2067,4,75,1,1,1,1,7,1866,0,9,1,1,1872,19273,57051,4,4,7,8012,1,105,2917,32,4,39,151,0,59,8358,2759,75,3330,0,0,7,3,1,1,47,1000,0,0,1,59,1099,17,335,7,27,0,1658,4,4,49,559,1553,290,60,11,4626,139,88,12,94,0,1150,1360,719,384,122,3,9,0,7,415,0,6,0,1,12,543,0,6,39,0,47,3,12,9,6,1,28,1,0,3,0,1,4,4989,0,4,6,2,18,81,3,101,3,2,497,2,51,13335,0,38,0,79,3,86,0,0,1,125,4429,1653,202,262,744,3,187,1027,0,3,1,0,51,2,27,0,1,47,13,37,13,1,3,47,0,3822,9,0,10,0,1,3,7,0,218,378,273,0,3,148,0,1,2,122,4,115,0,0,0,4,518,2,2082,14497,786,2,0,10204,60,2,172,1,1,0,151,566,191135
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,9662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,14066,0,0,572,0,0,0,0,271,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1870,0,0,0,0,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,53,0,0,0,297,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,28,0,0,0,0,0,0,0,0,0,1700,1453,0,0,104,0,0,0,0,0,0,0,427,1127,35191
